Name Of Movie,Year Of Release,Ranking Change_Jump,Change,Users_count,Rating
Spider-Man: Homecoming,2017,3,up,79783,8.1
Baby Driver,2017,0,no change,48005,8.3
Wonder Woman,2017,0,no change,194552,7.9
Transformers: The Last Knight,2017,3,down,32756,5.3
Okja,2017,1,up,24283,7.6
Jumanji: Welcome to the Jungle,2017,1,down,,
Despicable Me 3,2017,1,up,15194,6.4
The Lost City of Z,2016,5,up,20584,6.8
Dunkirk,2017,19,up,1478,9.7
Alien: Covenant,2017,37,up,101606,6.7
Valerian and the City of a Thousand Planets,2017,22,up,,
The Circle,2017,117,up,16314,5.3
War for the Planet of the Apes,2017,1,up,10257,8.3
The Beguiled,2017,7,down,3933,7.1
Atomic Blonde,2017,34,up,1248,7.3
The Mummy,2017,6,down,45750,5.7
Moana,2016,5,down,135453,7.7
Pirates of the Caribbean: Dead Men Tell No Tales,2017,0,no change,86234,7
Power Rangers,2017,2,down,53009,6.2
Justice League,2017,3,up,,
The House,2017,11,up,3071,5.6
Death Note,2017,16,up,,
Beauty and the Beast,2017,2,up,145847,7.4
King Arthur: Legend of the Sword,2017,15,down,56934,7.2
Avengers: Infinity War,2018,17,up,,
47 Meters Down,2017,4,down,8858,5.9
Kong: Skull Island,2017,8,down,127237,6.8
Cars 3,2017,8,down,10840,7.1
Logan,2017,1,up,336379,8.2
Get Out,2017,1,up,146938,7.8
Baywatch,2017,5,down,22893,5.8
Life,2017,3,down,92682,6.7
Guardians of the Galaxy Vol. 2,2017,3,up,183754,8.1
The Fate of the Furious,2017,9,up,110593,6.9
Trolls,2016,2,up,43654,6.5
2:22,2017,35,up,2897,5.6
A Ghost Story,2017,48,up,828,7.6
It,2017,10,up,,
Thor: Ragnarök,2017,12,up,,
John Wick: Chapter 2,2017,6,down,153856,7.7
The Big Sick,2017,9,up,3447,8.1
All Eyez on Me,2017,21,down,5394,6
CHIPS,2017,3,up,14069,6
Geostorm,2017,507,up,,
Polaroid,2017,852,up,,
The LEGO Batman Movie,2017,6,down,67077,7.4
It Comes at Night,2017,3,down,10780,7
You Get Me,2017,24,down,2639,4.7
Suicide Squad,2016,4,down,413315,6.2
Inconceivable,2017,47,up,1712,6.3
Ghost in the Shell,2017,102,up,78819,6.6
Independence Day,1996,201,up,456501,7
Split,2016,2,up,186645,7.3
Once Upon a Time in Venice,2017,38,up,3889,5.3
Star Wars: The Last Jedi,2017,1,up,,
A Cure for Wellness,2016,7,up,34422,6.4
Deadpool 2,2018,15,up,,
Rough Night,2017,17,down,4549,5.5
Sing,2016,7,up,69515,7.2
The Dark Tower,2017,6,down,,
The Greatest Showman,2017,46,down,,
Pilgrimage,2017,1400,up,618,5.9
Hacksaw Ridge,2016,13,up,233314,8.2
The Zookeeper's Wife,2017,17,up,8926,7
Captain America: Civil War,2016,44,up,425145,7.9
Kingsman: The Golden Circle,2017,72,up,,
The Belko Experiment,2016,3,down,15361,6.2
Star Trek Beyond,2016,0,no change,171922,7.1
War Machine,2017,11,up,19151,6.1
Fantastic Beasts and Where to Find Them,2016,20,up,247899,7.4
John Wick,2014,13,down,340037,7.3
Free Fire,2016,338,up,14310,6.6
Kingsman: The Secret Service,2014,156,up,446295,7.7
The Deep End,2016,1,up,5028,6.1
Doctor Strange,2016,11,up,318659,7.6
The Amazing Spider-Man 2,2014,105,up,346803,6.7
Annabelle: Creation,2017,7,up,473,7.9
Harry Potter and the Sorcerer's Stone,2001,5,down,489525,7.5
The Bad Batch,2016,40,down,3438,5.5
Guardians of the Galaxy,2014,11,down,771685,8.1
Before I Fall,2017,2,up,15497,6.4
La La Land,2016,5,up,281786,8.2
Rampage,2018,59,up,,
Logan Lucky,2017,19,down,,
The Dark Knight,2008,29,up,1809687,9
Batman v Superman: Dawn of Justice,2016,3,up,485444,6.7
X-Men: Apocalypse,2016,32,up,285959,7.1
Breathe,2017,31,down,,
Spider-Man,2002,124,up,580228,7.3
Kidnap,2017,157,up,5050,6.1
Forrest Gump,1994,44,up,1376172,8.8
The Foreigner,2017,76,down,,
Independence Day: Resurgence,2016,131,up,132263,5.3
Jurassic World: Fallen Kingdom,2018,15,down,,
Lion,2016,3,up,116636,8.1
Rogue One,2016,0,no change,341648,7.9
Tubelight,2017,70,down,7811,4.2
Blade Runner 2049,2017,46,down,,
Fun Mom Dinner,2017,7409,up,86,3.9
The Emoji Movie,2017,76,up,,
