Name Of Show,Year Of Release,Ranking Change_Jump,Change,Users_count,Rating
Game of Thrones,2011,0,no change,1174925,9.5
GLOW,2017,0,no change,8593,8.2
Orange Is the New Black,2013,0,no change,216609,8.2
Power,2014,4,up,19319,8.1
Gypsy,2017,59,up,3326,7.2
American Gods,2017,2,down,27775,8.3
The Handmaid's Tale,2017,1,down,19650,8.7
Shameless,2011,1,up,127799,8.7
The Big Bang Theory,2007,5,up,570585,8.3
Doctor Who,2005,9,up,161941,8.8
Preacher,2016,4,down,38687,8.1
House of Cards,2013,0,no change,366399,9.0
The Flash,2014,3,up,222815,8.1
Pretty Little Liars,2010,9,down,127876,7.6
Twin Peaks,2017,5,down,13931,8.9
Riverdale,2017,1,up,27841,7.9
Fargo,2014,6,down,211243,9.0
Inhumans,2017,3,down,,
13 Reasons Why,2017,1,down,112538,8.5
The Walking Dead,2010,4,up,699609,8.5
Fear the Walking Dead,2015,5,up,78051,7.1
Supernatural,2005,5,up,309486,8.6
Rick and Morty,2013,16,up,131986,9.3
Friends,1994,8,up,537803,9.0
Vikings,2013,5,up,247630,8.7
Arrow,2012,1,down,335158,7.8
The 100,2014,4,down,130990,7.8
Suits,2011,5,up,274233,8.7
Grey's Anatomy,2005,2,up,177776,7.7
Criminal Minds,2005,20,up,119222,8.1
Breaking Bad,2008,3,up,996401,9.5
The Originals,2013,10,down,86564,8.3
Silicon Valley,2014,12,down,78732,8.6
The Mist,2017,21,down,2977,5.5
The Ranch,2016,7,down,15398,7.6
Stranger Things,2016,5,up,318000,8.9
Prison Break,2005,2,down,372413,8.5
NCIS: Naval Criminal Investigative Service,2003,20,up,93560,7.9
The Office,2005,1,up,226021,8.8
Better Call Saul,2015,11,down,190709,8.7
Black Mirror,2011,4,down,137898,8.9
Westworld,2016,1,up,195082,9.0
Twin Peaks,1990,7,down,127756,8.9
Hawaii Five-0,2010,53,up,52931,7.4
Castlevania,2017,514,up,5801,8.2
The Vampire Diaries,2009,1,up,237334,7.8
iZombie,2015,9,down,42436,8.0
Riviera,2017,28,down,1395,6.8
Modern Family,2009,1,down,270510,8.5
American Horror Story,2011,1,up,214108,8.2
Agents of S.H.I.E.L.D.,2013,9,down,157456,7.5
Supergirl,2015,8,down,68410,6.6
Outlander,2014,8,down,61079,8.5
Sense8,2015,2,up,94028,8.4
How I Met Your Mother,2005,0,no change,484364,8.4
The Leftovers,2014,6,up,49914,8.2
Sherlock,2010,0,no change,587228,9.2
Reign,2013,4,down,33420,7.6
Gotham,2014,10,down,158424,7.9
Sons of Anarchy,2008,1,up,200616,8.6
The Simpsons,1989,8,up,291657,8.8
Snowfall,2017,488,up,609,7.6
Zoo,2015,26,up,14649,7.0
The Blacklist,2013,12,down,126570,8.1
Dark Matter,2015,10,up,27830,7.5
Peaky Blinders,2013,11,up,86223,8.8
Once Upon a Time,2011,1,down,182257,7.9
Mr. Robot,2015,40,up,223684,8.6
Orphan Black,2013,3,up,78705,8.4
Younger,2015,5,down,8105,7.8
Homeland,2011,3,up,251800,8.4
Law & Order: Special Victims Unit,1999,7,up,57268,8.1
Animal Kingdom,2016,20,down,8208,8.1
Narcos,2015,4,down,193155,8.9
Teen Wolf,2011,7,up,99879,7.7
Big Little Lies,2017,0,no change,36194,8.7
El Chapo,2017,31,down,2115,8.0
Family Guy,1999,3,up,254220,8.2
Lucifer,2015,8,down,80818,8.3
Room 104,2017,1148,up,,
Queen of the South,2016,1,down,4498,7.7
Bloodline,2015,14,down,32340,8.2
Blood Drive,2017,23,down,1476,7.1
Wentworth,2013,21,down,10415,8.7
That '70s Show,1998,7,down,123827,8.1
Lost,2004,2,down,409975,8.4
Killjoys,2015,142,up,12733,7.2
Dexter,2006,3,down,536718,8.8
The Night Shift,2014,6,down,7218,7.4
Parks and Recreation,2009,3,down,140713,8.6
Mad Men,2007,1,down,155578,8.6
Shadowhunters,2016,25,down,29336,6.4
True Detective,2014,1,up,363405,9.1
Claws,2017,2,up,1123,7.3
Brooklyn Nine-Nine,2013,7,down,81624,8.3
Shooter,2016,10,down,12987,7.7
Bones,2005,4,down,120034,7.9
Poldark,2015,3,down,13752,8.4
New Girl,2011,2,up,151352,7.7
It's Always Sunny in Philadelphia,2005,2,down,147364,8.8
